latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
10.579965,122.61905,157.0,28800,Asia/Manila,GMT+8

time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),wind_speed_10m (m/s),wind_direction_10m (°)
2022-01-05T17:00,25.8,82,0.00,7.07,33
2022-01-05T18:00,25.5,80,0.00,6.82,35
2022-01-05T19:00,25.2,80,0.00,6.77,34
2022-01-05T20:00,25.2,81,0.00,5.84,38
2022-01-05T21:00,25.0,83,0.00,6.10,35
2022-01-05T22:00,24.5,86,0.00,6.35,33
2022-01-05T23:00,24.3,88,0.00,6.18,29
2022-01-06T00:00,24.3,88,0.00,5.83,22
2022-01-06T01:00,24.3,88,0.00,5.65,23
2022-01-06T02:00,24.3,89,0.00,5.73,25
2022-01-06T03:00,24.3,88,0.00,5.77,26
2022-01-06T04:00,24.2,88,0.00,5.59,27
2022-01-06T05:00,24.1,88,0.00,5.55,26
2022-01-06T06:00,24.0,88,0.00,5.46,24
2022-01-06T07:00,24.4,87,0.00,5.19,19
2022-01-06T08:00,25.6,81,0.00,5.44,20
2022-01-06T09:00,26.6,75,0.00,6.22,28
2022-01-06T10:00,27.5,70,0.00,6.74,35
2022-01-06T11:00,28.0,66,0.00,6.92,37
2022-01-06T12:00,28.4,62,0.00,7.14,37
2022-01-06T13:00,28.4,61,0.00,6.94,36
2022-01-06T14:00,28.1,62,0.00,6.96,35
2022-01-06T15:00,27.7,64,0.00,6.88,36
2022-01-06T16:00,27.1,68,0.00,6.53,40
2022-01-06T17:00,26.1,74,0.00,5.78,37
2022-01-06T18:00,25.6,73,0.00,5.72,36
2022-01-06T19:00,25.5,75,0.00,5.00,37
2022-01-06T20:00,25.5,76,0.00,4.61,24
2022-01-06T21:00,25.0,78,0.00,4.97,15
2022-01-06T22:00,24.6,80,0.00,5.39,11
2022-01-06T23:00,24.5,81,0.00,5.32,12
2022-01-07T00:00,24.4,84,0.00,5.10,16
2022-01-07T01:00,24.2,87,0.00,4.87,19
2022-01-07T02:00,24.0,90,0.00,4.85,22
2022-01-07T03:00,23.9,90,0.00,4.94,21
2022-01-07T04:00,23.8,91,0.00,4.68,16
2022-01-07T05:00,23.5,92,0.00,4.83,13
2022-01-07T06:00,23.3,93,0.00,4.90,20
2022-01-07T07:00,24.0,92,0.00,4.81,21
2022-01-07T08:00,25.4,85,0.00,6.36,24
2022-01-07T09:00,26.6,76,0.00,7.16,28
2022-01-07T10:00,27.5,72,0.00,7.41,35
2022-01-07T11:00,28.1,69,0.00,7.02,36
2022-01-07T12:00,28.5,69,0.00,7.02,36
2022-01-07T13:00,28.5,70,0.00,6.49,34
2022-01-07T14:00,28.2,70,0.00,6.33,31
2022-01-07T15:00,28.0,73,0.00,6.26,25
2022-01-07T16:00,27.5,76,0.00,6.04,24
2022-01-07T17:00,26.7,78,0.00,5.95,27
2022-01-07T18:00,26.0,80,0.00,4.97,25
2022-01-07T19:00,25.5,82,0.00,4.68,20
2022-01-07T20:00,25.0,82,0.00,4.54,14
2022-01-07T21:00,24.9,83,0.00,4.85,14
2022-01-07T22:00,24.6,85,0.00,4.93,18
2022-01-07T23:00,24.6,87,0.00,5.13,21
2022-01-08T00:00,24.4,88,0.00,5.06,18
2022-01-08T01:00,24.2,89,0.00,5.03,21
2022-01-08T02:00,24.1,90,0.00,5.06,25
2022-01-08T03:00,23.8,93,0.00,4.90,20
2022-01-08T04:00,23.9,93,0.00,4.81,21
2022-01-08T05:00,23.8,94,0.00,4.48,24
2022-01-08T06:00,23.9,93,0.00,4.57,23
2022-01-08T07:00,24.4,92,0.00,4.37,16
2022-01-08T08:00,25.8,84,0.00,5.54,20
2022-01-08T09:00,26.6,80,0.00,5.87,30
2022-01-08T10:00,27.6,76,0.00,5.30,32
2022-01-08T11:00,28.2,74,0.00,4.77,33
2022-01-08T12:00,28.5,74,0.00,4.79,29
2022-01-08T13:00,28.8,72,0.00,5.08,32
2022-01-08T14:00,28.5,72,0.00,5.27,33
2022-01-08T15:00,28.0,75,0.00,5.27,33
2022-01-08T16:00,27.2,79,0.00,5.16,32
2022-01-08T17:00,26.4,82,0.00,4.97,30
2022-01-08T18:00,25.8,84,0.00,4.57,29
2022-01-08T19:00,25.6,86,0.00,4.36,32
2022-01-08T20:00,25.8,83,0.20,4.39,24
2022-01-08T21:00,25.6,85,0.00,4.11,18
2022-01-08T22:00,25.1,87,0.00,4.08,11
2022-01-08T23:00,24.7,89,0.00,3.93,15
2022-01-09T00:00,24.4,90,0.00,3.77,11
2022-01-09T01:00,24.2,91,0.00,3.79,12
2022-01-09T02:00,23.9,93,0.00,3.83,7
2022-01-09T03:00,23.6,95,0.00,3.63,8
2022-01-09T04:00,23.5,95,0.00,3.61,3
2022-01-09T05:00,23.4,96,0.00,3.67,11
2022-01-09T06:00,23.4,96,0.00,3.57,11
2022-01-09T07:00,24.1,93,0.00,3.93,15
2022-01-09T08:00,25.9,85,0.00,4.48,24
2022-01-09T09:00,27.0,79,0.00,5.10,35
2022-01-09T10:00,27.5,77,0.00,5.22,36
2022-01-09T11:00,28.2,74,0.00,5.55,34
2022-01-09T12:00,28.6,72,0.00,5.85,33
2022-01-09T13:00,28.7,71,0.00,5.74,35
2022-01-09T14:00,28.3,73,0.00,5.88,32
2022-01-09T15:00,27.9,76,0.00,5.82,35
2022-01-09T16:00,27.2,78,0.00,5.64,37
2022-01-09T17:00,26.2,83,0.00,5.16,36
2022-01-09T18:00,25.6,86,0.00,5.01,29
2022-01-09T19:00,25.5,87,0.00,4.62,22
2022-01-09T20:00,25.5,86,0.00,3.71,27
2022-01-09T21:00,25.5,87,0.00,3.32,16
2022-01-09T22:00,24.9,90,0.00,3.14,9
2022-01-09T23:00,24.5,91,0.00,3.22,7
2022-01-10T00:00,24.3,91,0.00,3.55,10
2022-01-10T01:00,24.1,91,0.00,3.79,12
2022-01-10T02:00,24.0,92,0.00,3.81,14
2022-01-10T03:00,24.0,93,0.00,3.57,11
2022-01-10T04:00,23.9,93,0.00,3.57,11
2022-01-10T05:00,23.6,94,0.00,3.65,9
2022-01-10T06:00,23.4,95,0.00,3.61,3
2022-01-10T07:00,24.1,93,0.00,3.41,5
2022-01-10T08:00,25.8,86,0.00,5.29,22
2022-01-10T09:00,27.0,82,0.10,4.52,25
2022-01-10T10:00,27.8,78,0.00,4.52,25
2022-01-10T11:00,28.4,75,0.00,4.74,28
2022-01-10T12:00,28.9,72,0.10,4.89,31
2022-01-10T13:00,28.9,72,0.00,4.94,32
2022-01-10T14:00,28.6,72,0.00,4.70,38
2022-01-10T15:00,28.4,72,0.00,4.20,38
2022-01-10T16:00,27.8,74,0.00,4.33,40
2022-01-10T17:00,27.1,78,0.00,3.44,36
2022-01-10T18:00,26.2,83,0.00,2.47,21
2022-01-10T19:00,25.7,87,0.00,2.51,5
2022-01-10T20:00,25.5,89,0.00,2.42,24
2022-01-10T21:00,25.6,89,0.00,2.82,23
2022-01-10T22:00,25.4,90,0.00,3.16,18
2022-01-10T23:00,24.9,91,0.00,2.91,16
2022-01-11T00:00,24.4,92,0.00,2.82,6
2022-01-11T01:00,24.1,93,0.00,2.90,2
2022-01-11T02:00,23.9,94,0.00,3.00,360
2022-01-11T03:00,23.7,94,0.00,2.90,358
2022-01-11T04:00,23.5,94,0.00,2.90,2
2022-01-11T05:00,23.5,95,0.00,3.01,4
2022-01-11T06:00,23.4,95,0.00,3.01,6
2022-01-11T07:00,24.2,93,0.00,3.22,7
2022-01-11T08:00,26.0,86,0.00,4.27,16
2022-01-11T09:00,27.2,80,0.00,4.61,24
2022-01-11T10:00,28.2,74,0.00,4.58,32
2022-01-11T11:00,29.0,70,0.00,4.44,36
2022-01-11T12:00,29.5,67,0.00,4.42,38
2022-01-11T13:00,29.2,67,0.40,4.72,36
2022-01-11T14:00,28.6,71,0.40,4.52,35
2022-01-11T15:00,28.2,74,0.10,4.17,30
2022-01-11T16:00,27.3,78,0.10,3.96,10
2022-01-11T17:00,27.0,79,0.00,3.90,23
2022-01-11T18:00,26.0,84,0.00,2.77,13
2022-01-11T19:00,25.8,85,0.00,2.73,24
2022-01-11T20:00,25.4,90,0.00,2.44,19
2022-01-11T21:00,25.5,89,0.00,2.98,14
2022-01-11T22:00,24.9,89,0.00,3.40,14
2022-01-11T23:00,24.4,91,0.00,3.71,14
2022-01-12T00:00,24.2,93,0.00,4.03,23
2022-01-12T01:00,24.1,93,0.00,4.09,22
2022-01-12T02:00,24.1,93,0.00,4.07,25
